robot_x_m,robot_y_m,channel,measure_result,svd_deg
-200.0,-1400.0,5,direction,359.4
-200.0,-1000.0,12,direction,8.95
-200.0,-1000.0,15,direction,119.82
-200.0,-1000.0,8,direction,181.57
-200.0,-1000.0,7,direction,101.73
-200.0,-1000.0,5,direction,321.61
-200.0,-600.0,12,direction,352.43
-200.0,-600.0,15,direction,137.9
-200.0,-600.0,19,direction,94.54
-200.0,-600.0,8,direction,201.24
-200.0,-600.0,7,direction,114.36
-200.0,-600.0,5,direction,303.64
-200.0,-200.0,15,direction,175.0
-200.0,-200.0,3,direction,108.58
-200.0,-200.0,19,direction,95.03
-200.0,-200.0,20,direction,64.0
-200.0,-200.0,7,direction,184.08
-200.0,200.0,15,direction,216.3
-200.0,200.0,3,direction,114.99
-200.0,200.0,19,direction,102.36
-200.0,200.0,20,direction,49.7
-200.0,200.0,7,direction,246.72
-200.0,200.0,2,direction,86.67
-200.0,600.0,11,direction,27.94
-200.0,600.0,3,direction,133.36
-200.0,600.0,13,direction,50.34
-200.0,600.0,17,direction,150.86
-200.0,600.0,19,direction,216.83
-200.0,600.0,20,direction,20.75
-200.0,600.0,7,direction,256.88
-200.0,600.0,2,direction,80.62
-200.0,1000.0,11,direction,3.84
-200.0,1000.0,3,direction,179.06
-200.0,1000.0,13,direction,35.66
-200.0,1000.0,17,direction,175.33
-200.0,1000.0,19,direction,260.32
-200.0,1000.0,20,direction,337.56
-200.0,1000.0,7,direction,261.59
-200.0,1000.0,2,direction,296.34
-200.0,1400.0,11,direction,336.8
-200.0,1400.0,3,direction,226.2
-200.0,1400.0,13,direction,10.17
-200.0,1400.0,17,direction,202.91
-200.0,1400.0,19,direction,264.46
-200.0,1400.0,20,direction,309.81
-200.0,1400.0,2,direction,275.93
200.0,1400.0,11,direction,320.04
200.0,1400.0,3,direction,205.69
200.0,1400.0,13,direction,20.38
200.0,1400.0,19,direction,240.88
200.0,1400.0,20,direction,278.24
200.0,1400.0,2,direction,236.1
200.0,1000.0,11,direction,6.32
200.0,1000.0,3,direction,180.32
200.0,1000.0,13,direction,54.9
200.0,1000.0,19,direction,223.44
200.0,1000.0,20,direction,294.95
200.0,1000.0,2,direction,196.22
200.0,600.0,15,direction,221.34
200.0,600.0,11,direction,47.24
200.0,600.0,3,direction,153.09
200.0,600.0,13,direction,67.39
200.0,600.0,19,direction,186.46
200.0,600.0,9,direction,1.0
200.0,600.0,20,direction,62.33
200.0,600.0,7,direction,234.35
200.0,600.0,2,direction,139.56
200.0,200.0,15,direction,201.53
200.0,200.0,11,direction,64.09
200.0,200.0,3,direction,134.61
200.0,200.0,13,direction,73.75
200.0,200.0,19,direction,143.53
200.0,200.0,20,direction,80.57
200.0,200.0,7,direction,216.09
200.0,200.0,2,direction,115.99
200.0,-200.0,12,direction,329.15
200.0,-200.0,15,direction,177.27
200.0,-200.0,19,direction,121.9
200.0,-200.0,20,direction,83.88
200.0,-200.0,7,direction,181.38
200.0,-600.0,12,direction,348.87
200.0,-600.0,15,direction,152.8
200.0,-600.0,16,direction,49.37
200.0,-600.0,19,direction,112.96
200.0,-600.0,10,direction,343.53
200.0,-600.0,20,direction,86.9
200.0,-600.0,7,direction,146.74
200.0,-600.0,5,direction,278.46
200.0,-1000.0,12,direction,13.42
200.0,-1000.0,15,direction,135.66
200.0,-1000.0,10,direction,2.16
200.0,-1000.0,7,direction,126.09
200.0,-1000.0,5,direction,287.88
200.0,-1400.0,12,direction,32.65
200.0,-1400.0,10,direction,21.26
200.0,-1400.0,5,direction,353.82
600.0,-1400.0,12,direction,49.86
600.0,-1400.0,10,direction,30.73
600.0,-1400.0,5,direction,183.28
600.0,-1000.0,12,direction,22.87
600.0,-1000.0,16,direction,80.84
600.0,-1000.0,10,direction,4.02
600.0,-1000.0,7,direction,140.43
600.0,-1000.0,5,direction,236.63
600.0,-600.0,12,direction,341.38
600.0,-600.0,16,direction,76.47
600.0,-600.0,10,direction,334.32
600.0,-600.0,20,direction,102.07
600.0,-600.0,7,direction,159.17
600.0,-600.0,5,direction,251.89
600.0,-200.0,15,direction,177.4
600.0,-200.0,16,direction,57.21
600.0,-200.0,19,direction,139.84
600.0,-200.0,10,direction,314.29
600.0,-200.0,9,direction,44.36
600.0,-200.0,20,direction,107.87
600.0,-200.0,7,direction,180.33
600.0,200.0,11,direction,88.65
600.0,200.0,13,direction,89.99
600.0,200.0,19,direction,159.14
600.0,200.0,9,direction,27.61
600.0,200.0,20,direction,117.85
600.0,200.0,7,direction,203.64
600.0,200.0,2,direction,137.85
600.0,600.0,11,direction,88.58
600.0,600.0,3,direction,161.1
600.0,600.0,13,direction,90.17
600.0,600.0,19,direction,183.31
600.0,600.0,9,direction,1.19
600.0,600.0,20,direction,148.36
600.0,600.0,2,direction,159.46
600.0,1000.0,11,direction,68.26
600.0,1000.0,3,direction,180.27
600.0,1000.0,13,direction,90.12
600.0,1000.0,19,direction,206.88
600.0,1000.0,9,direction,334.36
600.0,1000.0,20,direction,215.89
600.0,1000.0,2,direction,188.15
600.0,1400.0,3,direction,198.0
600.0,1400.0,13,direction,90.42
600.0,1400.0,19,direction,223.83
600.0,1400.0,9,direction,316.44
600.0,1400.0,20,direction,242.9
600.0,1400.0,2,direction,214.15
1000.0,1400.0,13,direction,158.07
1000.0,1400.0,9,direction,298.66
1000.0,1400.0,20,direction,222.14
1000.0,1000.0,13,direction,125.05
1000.0,1000.0,19,direction,199.26
1000.0,1000.0,9,direction,317.76
1000.0,1000.0,20,direction,197.07
1000.0,600.0,13,direction,112.65
1000.0,600.0,19,direction,181.98
1000.0,600.0,9,direction,2.69
1000.0,600.0,20,direction,166.12
1000.0,200.0,16,direction,212.72
1000.0,200.0,13,direction,106.07
1000.0,200.0,19,direction,164.7
1000.0,200.0,10,direction,287.75
1000.0,200.0,9,direction,45.02
1000.0,200.0,20,direction,139.28
1000.0,-200.0,16,direction,136.11
1000.0,-200.0,10,direction,294.38
1000.0,-200.0,9,direction,63.87
1000.0,-200.0,20,direction,126.13
1000.0,-600.0,16,direction,111.64
1000.0,-600.0,10,direction,315.71
1000.0,-600.0,5,direction,231.26
1000.0,-1000.0,12,direction,57.78
1000.0,-1000.0,16,direction,103.84
1000.0,-1000.0,10,direction,7.62
1000.0,-1000.0,5,direction,211.85
1000.0,-1400.0,12,direction,77.84
1000.0,-1400.0,10,direction,50.65
1000.0,-1400.0,5,direction,180.23
1400.0,-1000.0,10,direction,133.64
1400.0,-1000.0,5,direction,200.18
1400.0,-600.0,16,direction,134.72
1400.0,-600.0,10,direction,263.12
1400.0,-600.0,9,direction,88.47
1400.0,-200.0,16,direction,158.66
1400.0,-200.0,10,direction,266.75
1400.0,-200.0,9,direction,88.26
1400.0,200.0,16,direction,193.7
1400.0,200.0,10,direction,267.73
1400.0,200.0,9,direction,86.37
1400.0,200.0,20,direction,152.62
1400.0,600.0,16,direction,220.0
1400.0,600.0,13,direction,129.84
1400.0,600.0,9,direction,44.93
1400.0,600.0,20,direction,171.39
1400.0,1000.0,13,direction,144.42
1400.0,1000.0,9,direction,273.28
1400.0,1000.0,20,direction,190.25
