robot_x_m,robot_y_m,channel,measure_result,svd_deg
600.0,1000.0,5,direction,13.75
600.0,1000.0,13,direction,128.64
600.0,1000.0,20,direction,100.68
600.0,1000.0,3,direction,260.76
600.0,1000.0,11,direction,269.13
600.0,1400.0,5,direction,323.09
600.0,1400.0,13,direction,149.29
600.0,1400.0,20,direction,129.48
600.0,1400.0,3,direction,264.87
600.0,1400.0,11,direction,269.87
1000.0,1400.0,5,direction,271.64
1000.0,1400.0,13,direction,159.89
1000.0,1400.0,20,direction,168.5
1000.0,1400.0,3,direction,240.14
1000.0,1400.0,11,direction,245.05
1000.0,1000.0,5,direction,87.19
1000.0,1000.0,10,direction,303.26
1000.0,1000.0,13,direction,143.15
1000.0,1000.0,20,direction,133.11
1000.0,1000.0,3,direction,224.03
1000.0,1000.0,11,direction,230.75
1000.0,600.0,5,direction,90.57
1000.0,600.0,10,direction,324.21
1000.0,600.0,20,direction,119.11
1000.0,600.0,3,direction,185.57
1000.0,600.0,11,direction,193.61
1000.0,200.0,5,direction,90.44
1000.0,200.0,10,direction,359.85
1000.0,200.0,3,direction,143.91
1000.0,200.0,11,direction,142.92
1000.0,-200.0,10,direction,35.3
1000.0,-200.0,1,direction,242.42
1000.0,-200.0,3,direction,122.33
1000.0,-200.0,11,direction,118.59
1000.0,-600.0,10,direction,54.78
1000.0,-600.0,1,direction,228.52
1000.0,-1000.0,1,direction,195.98
1000.0,-1400.0,1,direction,152.17
1400.0,-1000.0,1,direction,189.48
1400.0,-600.0,10,direction,80.04
1400.0,-600.0,1,direction,210.38
1400.0,-200.0,10,direction,71.04
1400.0,-200.0,3,direction,139.59
1400.0,-200.0,11,direction,137.77
1400.0,200.0,5,direction,112.99
1400.0,200.0,10,direction,358.12
1400.0,200.0,3,direction,159.28
1400.0,200.0,11,direction,159.83
1400.0,600.0,5,direction,128.46
1400.0,600.0,10,direction,290.27
1400.0,600.0,20,direction,135.11
1400.0,600.0,3,direction,182.71
1400.0,600.0,11,direction,187.57
1400.0,1000.0,5,direction,166.38
1400.0,1000.0,10,direction,280.03
1400.0,1000.0,20,direction,149.48
1400.0,1000.0,3,direction,207.99
1400.0,1000.0,11,direction,211.64
