robot_x_m,robot_y_m,channel,measure_result,svd_deg
1000.0,600.0,16,direction,259.06
1000.0,200.0,12,direction,128.8
1000.0,200.0,9,direction,202.27
1000.0,200.0,4,direction,105.65
1000.0,200.0,3,direction,322.79
1000.0,200.0,17,direction,201.45
1000.0,200.0,16,direction,253.63
1000.0,200.0,7,direction,250.31
1000.0,-200.0,12,direction,117.96
1000.0,-200.0,9,direction,167.52
1000.0,-200.0,4,direction,98.26
1000.0,-200.0,3,direction,63.66
1000.0,-200.0,17,direction,179.87
1000.0,-200.0,16,direction,231.82
1000.0,-200.0,7,direction,235.48
1000.0,-600.0,9,direction,141.19
1000.0,-600.0,3,direction,77.49
1000.0,-600.0,17,direction,157.8
1000.0,-600.0,16,direction,143.68
1000.0,-600.0,7,direction,185.88
1000.0,-1000.0,9,direction,125.26
1000.0,-1000.0,3,direction,82.56
1000.0,-1000.0,17,direction,141.68
1000.0,-1000.0,16,direction,110.32
1000.0,-1000.0,7,direction,127.47
1000.0,-1400.0,16,direction,100.89
1000.0,-1400.0,7,direction,111.04
1400.0,-1000.0,3,direction,104.07
1400.0,-1000.0,16,direction,137.58
1400.0,-1000.0,7,direction,151.45
1400.0,-600.0,9,direction,152.77
1400.0,-600.0,3,direction,110.38
1400.0,-600.0,17,direction,163.87
1400.0,-600.0,16,direction,165.26
1400.0,-600.0,7,direction,183.0
1400.0,-200.0,9,direction,173.21
1400.0,-200.0,4,direction,121.32
1400.0,-200.0,3,direction,131.98
1400.0,-200.0,17,direction,179.47
1400.0,-200.0,16,direction,203.27
1400.0,-200.0,7,direction,211.95
1400.0,200.0,12,direction,142.35
1400.0,200.0,9,direction,194.64
1400.0,200.0,4,direction,138.15
1400.0,200.0,3,direction,203.28
1400.0,200.0,17,direction,196.03
1400.0,200.0,16,direction,226.73
1400.0,200.0,7,direction,230.37
1400.0,600.0,12,direction,159.81
1400.0,600.0,4,direction,172.22
1400.0,600.0,3,direction,243.15
1400.0,600.0,16,direction,239.85
1400.0,1000.0,12,direction,180.45
1400.0,1000.0,4,direction,211.08
1400.0,1000.0,3,direction,254.44
